"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","1000μF","~","Capacitor_THT:CP_Radial_D13.0mm_P7.50mm","2",""
"C_CERAMIC1,C_CERAMIC2","0.1μF","~","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","2",""
"D1,D2,D3,D4","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4",""
"INPUT_AC1","INPUT_TF","~","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal","1",""
"J1","test_VCC","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"J2","test_GND","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"OUTPUT1","OUT_5VCC","~","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal","1",""
"OUTPUT2","OUT_9VCC","~","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal","1",""
"U2","LM7809_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U3","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
